code,name,price,change_pct,pe_ttm,pb,mcap_yi
600309,万华化学,67.15,-1.1,15.97,1.96,2102.11
600674,川投能源,15.51,2.44,15.99,1.63,756.05
002032,苏 泊 尔,42.22,-1.7,16.04,7.33,337.54
600739,辽宁成大,9.91,-0.9,16.05,0.51,150.86
601377,兴业证券,5.84,-0.34,16.06,0.89,504.34
601200,上海环境,7.21,-1.9,16.09,0.82,97.06
601022,宁波远洋,7.61,-1.3,16.1,1.59,99.59
600120,浙江东方,4.38,-3.1,16.15,0.92,149.59
601225,陕西煤业,26.93,1.13,16.15,2.56,2610.86
600607,上实医药,23.52,0.0,16.21,3.74,86.51
605507,国邦医药,15.89,-1.61,16.22,1.48,124.32
300628,亿联网络,34.5,-0.95,16.22,5.24,250.42
603279,景津装备,13.44,2.13,16.23,1.73,77.46
002605,姚记科技,18.13,-3.46,16.24,2.06,61.32
603043,广州酒家,14.0,-2.64,16.26,2.11,78.95
600028,中国石化,4.79,0.21,16.29,0.7,4538.64
000596,古井贡酒,87.17,-0.05,16.3,1.76,356.18
301039,中集车辆,7.67,-0.78,16.3,0.98,111.4
002539,云图控股,11.89,3.12,16.38,1.48,105.8
600267,海正药业,9.6,-0.62,16.39,1.29,115.08
601021,春秋航空,44.0,-2.55,16.41,2.31,430.47
600982,宁波能源,5.56,0.54,16.43,1.42,62.14
003012,东鹏控股,4.72,-2.07,16.43,0.75,53.55
002275,桂林三金,12.7,-2.16,16.48,2.37,70.75
601966,玲珑轮胎,11.78,-1.42,16.49,0.76,172.4
601633,长城汽车,17.52,2.28,16.54,1.7,1087.86
600026,中远海能,16.65,0.42,16.56,1.89,637.31
002906,华阳集团,25.03,-2.98,16.59,1.91,131.31
600251,冠农股份,9.71,1.46,16.6,1.87,75.45
002255,海陆重工,8.93,0.22,16.61,1.62,56.97
603456,XD九洲药,12.18,-1.93,16.62,1.23,108.33
601949,中国出版,5.03,-2.33,16.64,0.96,95.77
600258,首旅酒店,12.49,-1.73,16.65,1.14,139.46
002003,伟星股份,8.93,-0.22,16.66,2.53,91.27
600166,福田汽车,3.01,0.67,16.67,1.48,238.31
002833,弘亚数控,17.43,-1.8,16.67,2.71,50.24
300596,利安隆,37.83,-2.6,16.68,1.75,86.87
300358,楚天科技,7.74,-2.15,16.72,0.99,54.28
600196,复星医药,21.78,-1.49,16.73,1.18,461.41
600179,安通控股,4.35,-0.91,16.76,1.52,168.01
002266,浙富控股,4.67,1.3,16.82,1.98,226.15
002941,新疆交建,10.7,-2.28,16.83,1.67,78.08
600866,星湖科技,4.64,-1.69,16.84,0.94,58.27
689009,九号公司-WD,34.67,-1.25,16.84,3.39,194.0
603053,成都燃气,8.89,-0.34,16.86,1.56,79.02
603556,海兴电力,23.56,-4.07,16.87,1.54,114.56
603979,金诚信,68.11,2.92,16.87,3.71,424.86
000027,深圳能源,7.1,-0.84,16.88,1.01,337.77
